,Sentences
1434,  where is the nearest ice cream shop
1435,  where is the nearest kosher restaurant
1436,  where is the nearest mexican restaurant open late for dinner
1437,  where is the nearest napoli pizzeria
1438,  where is the nearest place i can get a smoothie
1439,  where is the nearest place that serves nachos
1440,  where is the nearest place with a dining patio
1441,  where is the nearest place within 5 miles that has a game room for kids
1442,  where is the nearest restaurant that allows indoor smoking
1443,  where is the nearest restaurant that serves hush puppies
1444,  where is the nearest restaurant that serves steak
1445,  where is the nearest restaurant with a casual kid friendly atmosphere
1446,  where is the nearest shell gas station
1447,  where is the nearest sushi bar
1448,  where is the nearest take out chinese restaurant
1449,  where is the nearest tapas restaurant
1450,  where is the nearest thai restaurant that serves breakfast in alston
1451,  where is the nearest tomacchios with patio seating located
1452,  where is the nearest uptown espresso
1453,  where is the next mcdonald
1454,  where is the place with byob 2 miles from here
1455,  where is the reading station coffee depot on norfolk ave do they serve breakfast
1456,  where is the sportsway bar in melrose
1457,  where is there a fatz with interesting people around
1458,  where is there a good mid priced restaurant near 4 th street that serves appetizers
1459,  where is there a great steak near here that has a buffet
1460,  where is wing stop
1461,  where should we go to get some great food
1462,  where there a restaurant located within 1 mile from here
1463,  wheres a good place to get tacos near central park
1464,  wheres a kid friendly diner thats within an hour of here
1465,  wheres closest mcdonalds
1466,  wheres papa johns
1467,  wheres the best korean restaurant in the area
1468,  wheres the closes chicken place
1469,  wheres the closest 5 star restaurant located
1470,  wheres the closest bar
1471,  wheres the closest pizza place
1472,  wheres the italian restaurant downtown thats open until midnight
1473,  wheres the local el penllo arriba peru
1474,  wheres the local soup and sandwich joint
1475,  wheres the nearest french place to eat
1476,  wheres the nearest italian restaurant
1477,  wheres the nearest pizza restaurant to the amc white flint movie theater
1478,  wheres the nearest restaurant
1479,  wheres the nearest restaurant with a 3 star rating or better that serves a hamburger for under five dollars
1480,  wheres the nearest restaurant with a childrens menu
1481,  wheres the serborn inn located
1482,  which authentic mexican restaurants offer complementary chips and salsa
1483,  which five star italian restaurants in manattan have the best reviews
1484,  which local restaurant serves only seafood
1485,  which nearby restaurant serves the best steak
1486,  which parks are kid friendly
1487,  which pizza places will deliver to me
1488,  which places serve large portions
1489,  which restaurant can i get to within 5 minutes which serves healthy portions
1490,  which restaurant has a better rating on yelp sakura or fuji ya
1491,  which restaurant has a smoking section
1492,  which restaurant has fried pickles for appetizers
1493,  which restaurant in my city has the highest reviews
1494,  which restaurant is open late and has good prices on espressos
1495,  which restaurants are considered vegetarian in my city
1496,  which restaurants are open after midnight on a wednesday
1497,  which restaurants around my city have the best deserts
1498,  which restaurants have playgrounds in them
1499,  which restaurants near here are open till midnight
1500,  which restaurants offer outdoor dining
1501,  which restaurants serving grass fed beef steaks have the best prices
1502,  which tim hortons is closest to detroit
1503,  whixh restaurant has delivery in washington court for a reasonable price
1504,  who has good burgers around here
1505,  who has happy hour right now
1506,  who has the best lobster in town
1507,  who has the best pizza that takes credit cards
1508,  who has the best selection of micro brew and imported beers
1509,  who makes the absolute best sausage
1510,  who makes the best burgers in town
1511,  who makes the best chicken wings in town
1512,  who serves cali food
1513,  who serves the best wings in this town
1514,  who will give me the best priced party subs in town
1515,  will i be able to find a romantic restaurant for my date tonight
1516,  will waffle house accept a prepaid visa gift card
1517,  yes please get me mcdonalds phone number in patchogue new york
1518,  yes the new diner on south street please
1519,  yes we need some chicken for our new diet so chik fa lay it is
1520,  you can help me with some onion rings
1521, 
