,Sentences
3903,  is romys shrimp shack on kamehameha highway
3904,  is sadbury road a good vietnamese restaurant for people watching
3905,  is salamander a good place for a business lunch
3906,  is sapporo ramen open late after 2 am
3907,  is sclafani italian historic
3908,  is shogun a good restaurant
3909,  is shohun restaurant romantic
3910,  is simards super roast beef in burlington open after 12
3911,  is siomis place open after 11 am
3912,  is smoking allowed at johns pico restaurant
3913,  is spice that kitchen open till 1 am with dancing
3914,  is stefanios open for lunch and dinner
3915,  is sushi stop cash only
3916,  is taco bell open
3917,  is taco bell open at 6 in the morning
3918,  is taco bell open for breakfast time
3919,  is taco bell still open
3920,  is target a romantic spot with parking
3921,  is that cafe i like open now how late
3922,  is that little chinese joint on columbia and stout closed
3923,  is that old school diner still open
3924,  is that restaurant good on south end
3925,  is the a wok kitchen with prix fixe menus along my route
3926,  is the cheddar and broccoli soup any good
3927,  is the coffee house on franklin still open
3928,  is the continental bakery within 3 miles of here and does it have seating for groups
3929,  is the dress code dressy at bobs mooty house
3930,  is the fine dining restaurant hungry tiger open
3931,  is the food good at the mom and pop restaurant downtown
3932,  is the gage restaurant open this evening
3933,  is the greek restaurant in alston expensive
3934,  is the house of blues in the theater district open until 1 am
3935,  is the huhot mongolian grill located in a historic area
3936,  is the hungarian place over on 10 th street family owned
3937,  is the ichiban steak house priced cheaply if so can you dine at the bar
3938,  is the in n out still open
3939,  is the indian restaurant downtown cheaper than the indian restaurant uptown
3940,  is the jamaica plain house pizza restaurant cheap
3941,  is the joes diner in crestview handicap accessible
3942,  is the kookoo cafe a good place to bring children
3943,  is the la chiva down the road open 24 7
3944,  is the little q hotpot restaurant good for a first date
3945,  is the local banh mi a celebrity hangout
3946,  is the local mexican restaurant smoke free
3947,  is the marias pizzeria thats close by good for special occasion dining
3948,  is the millis restaurant in my area open till 11 pm
3949,  is the nearest burger king open right now
3950,  is the nearest waffle house non smoking
3951,  is the olive garden kid friendly
3952,  is the pizza at bills pizza shop under 10 for a large pizza
3953,  is the pizza hut open past 9 pm
3954,  is the pizza place around the corner open
3955,  is the prattville pizza and restaurant affordable
3956,  is the price very high
3957,  is the quincy jade restaurant on south str expensive or not
3958,  is the rock bottom restaurant open seven days a week
3959,  is the rubys cafe still open
3960,  is the service rated well at mikes american restaurant
3961,  is the spagetti factory open on sundays
3962,  is the sushi bar expensive
3963,  is the vegetarian place on main open for breakfast
3964,  is there a 24 hour restaurant near here
3965,  is there a 24hr breakfast restaurant nearby
3966,  is there a 4 star restaurant in the area
3967,  is there a 4 star chinese restaurant within 5 miles
3968,  is there a 5 star restaurant in this area
3969,  is there a a place to sit down and eat in the next block
3970,  is there a bakery near
3971,  is there a bamboo house chinese restaurant within a mile with huge portions
3972,  is there a banh mi within a mile of me where i can spot celebrities
3973,  is there a bar at cadete enterprise on west prescott street
3974,  is there a bar close by that has good bbq sauce
3975,  is there a bar that serves food still open around here
3976,  is there a bar with a happy hour nearby
3977,  is there a bar with a smoking area near here
3978,  is there a barbecue place near my house
3979,  is there a beef o brady close by
3980,  is there a big bar halal restaurant nearby here
3981,  is there a boston market in seattle
3982,  is there a breastaurant anywhere within a 100 mile radius
3983,  is there a brighton house of pizza at government center
3984,  is there a burger king in nashville tn
3985,  is there a burger king in the area
3986,  is there a burger king near by
3987,  is there a burger king near here
3988,  is there a burger king near my current location
3989,  is there a burger king within 5 miles
3990,  is there a burger place in hyde park
3991,  is there a burmese place with reasonable pricing
3992,  is there a burrito place near here that is rated 5 stars
3993,  is there a cafe nearby
3994,  is there a cafe nearby with a patio
3995,  is there a cafe rio within ten miles that is not expensive
3996,  is there a cajun restaurant nearby where i can watch people the price doesnt matter
3997,  is there a cajun restaurant with drivethru frozen margaritas that has high ratings for fried pickles and gator tail
3998,  is there a caribbean restaurant within 2 miles
3999,  is there a carry out chinese restaurant that is recommended nearby
4000,  is there a casino nearby that also serves food
4001,  is there a casual place to get a martini and dine at the bar
4002,  is there a cavaleiros restaurant within three miles that is serving breakfast
4003,  is there a celeb hangout nearby
4004,  is there a chai restaurant that delivers
4005,  is there a chai restaurant within one mile
4006,  is there a chain restaurant within 5 miles to my current location
4007,  is there a chan omallys on the way
4008,  is there a charos bakery location with carry out and great service nearby
4009,  is there a chatta box near hingham
4010,  is there a cheap bar on kingsdale street
4011,  is there a cheap burger place rated 3 5 stars or more in downtown sf
4012,  is there a cheap duck place that also has really good service
4013,  is there a cheap halal place on summer street
4014,  is there a cheap mexican restaurant close
4015,  is there a cheap pad thai place around here
4016,  is there a cheap potato place close by
4017,  is there a cheap restaurant within 3 miles that offers cozy ambiance
4018,  is there a cheesecake factory in hicksville new york
4019,  is there a cheesecake factory on the 405
4020,  is there a chick fil a around
4021,  is there a chick fil a nearby
4022,  is there a child friendly vietnamese restaurant in dorche
4023,  is there a chilis in this neighborhood
4024,  is there a china garden restaurant in newark
4025,  is there a chinese buffet around here
4026,  is there a chinese buffet nearby
4027,  is there a chinese place nearby
4028,  is there a chinese place that makes peking duck in el segundo
4029,  is there a chinese restaurant close
4030,  is there a chinese restaurant in the area with good service
4031,  is there a chinese restaurant nearby that offers duck as take out
4032,  is there a chinese restaurant that doesnt use msg
4033,  is there a cicis pizza served at a hotel
4034,  is there a classic pizza restaurant in the theater district
4035,  is there a close by restaurant that has afgan food and out door sitting
4036,  is there a coffee shop nearby that also has wifi
4037,  is there a coffee shop that serves breakfast close by
4038,  is there a coffee to go in the theater district
4039,  is there a cold stone creamery that is on the water
4040,  is there a colombian buffet close by
4041,  is there a colombo yogurt shop open for breakfast in fenway
4042,  is there a comedy club that serves food here
4043,  is there a country inn ii nearby
4044,  is there a crazy bowl nearby
4045,  is there a crown royal bakery on the way
4046,  is there a cuban restaurant where i can bring my own alcohol
4047,  is there a cupcake bakery i can get to in 20 minutes
4048,  is there a cupcake cafe in clifton new jersey
4049,  is there a czech restaurant in uptown
4050,  is there a decently priced place to get tapas
4051,  is there a del taco near here
4052,  is there a deli nearby that sells fresh fish
4053,  is there a deli that has a parking lot
4054,  is there a dennys along my route
4055,  is there a dennys on i 5 near bakersfield
4056,  is there a diner around here
4057,  is there a diner open past 9 pm
4058,  is there a diner that delivers anywhere near here
4059,  is there a diner that is still open this late at night that has huge portions im starving
4060,  is there a diner within a mile that has great service
4061,  is there a dress code at mindys
4062,  is there a dress code at russos on the bay
4063,  is there a dress code for lepages
4064,  is there a drive in on the way
4065,  is there a drive in place near here
4066,  is there a dunkin donuts within 5 miles
4067,  is there a dunkin donuts within 5 miles of here
4068,  is there a family friendly restaurant nearby
4069,  is there a family friendly restaurant still open
4070,  is there a family oriented restaurant anywhere nearby thats open late
4071,  is there a family owned burger joint within 5 miles
4072,  is there a family style place around here with cheap prices
4073,  is there a fancy comfortable place to eat on shawsheen avenue
4074,  is there a fast food eatery near here that serves burritos
4075,  is there a fast food place on the way to my destination
4076,  is there a fast food restaurant near by
4077,  is there a fast food restaurant nearby
4078,  is there a fast food restaurant within ten miles that takes credit cards
4079,  is there a fernandez pizza restaurant in san francisco
4080,  is there a filipino restaurant in the area that also does karaoke
4081,  is there a fine chinese restaurant bar near me
4082,  is there a fine dining restaurant in the theater district
4083,  is there a fireplace at dandy donuts
4084,  is there a five star italian restaurant in this city
4085,  is there a five star restaurant that has valet service
4086,  is there a food truck near me thats not mexican
4087,  is there a foxboro houe of pizza in brookline
4088,  is there a franks sub zone buffet restaurant around here
4089,  is there a french restaurant thats 4 star rated with parking
4090,  is there a friendlys on this road
4091,  is there a friendlys within 30 minutes of here
4092,  is there a fureys cafe with a non smoking section open til 12 pm
4093,  is there a german restaurant with a high rating
4094,  is there a good bbq joint in the downtown area
4095,  is there a good burger place close by
4096,  is there a good cafe near dolores park
4097,  is there a good cafe with free wifi i can study at
4098,  is there a good chicago style pizza place in oakland
4099,  is there a good chinese restaurant open at midnight
4100,  is there a good diner between spokane washington and sandpoint idaho
4101,  is there a good italian place nearby that not a lot of people know about
4102,  is there a good mexican restaurant i could go to
4103,  is there a good phone number that i can use to call limkes deli
4104,  is there a good place to eat within 1 mile from here
4105,  is there a good restaurant in north end
4106,  is there a good sandwich shop nearby
4107,  is there a good steakhouse nearby
4108,  is there a good thai restaurant around here
4109,  is there a good wine bar close to the nuriss bakery
4110,  is there a goodtimes the candy cafe along the waterfront within 10 miles
4111,  is there a granite city on i 5
4112,  is there a great low priced restaurant serving lobster in my area
4113,  is there a greek diner open past 11 pm nearby
4114,  is there a greek restaurant close by
4115,  is there a greek restaurant close to my destination
4116,  is there a greek restaurant nearby
4117,  is there a ground round grill and bar on baldwin road
4118,  is there a group dining restaurant near by
4119,  is there a gyro shop near by
4120,  is there a hamburger restaurant along the way that has special dining
4121,  is there a harringtons nearby that does special occasions
4122,  is there a harringtons nearby with special occasion dining
4123,  is there a hibachi restaurant that opens before 11 am and has parking near georgetown
4124,  is there a hidden find on cypress that serves mozzarella dishes
4125,  is there a high end bar or restaurant open 24 hours
4126,  is there a historic restaurant in andover that serves chowder
4127,  is there a hot dog place that requires formal attire within 30 blocks of central park
4128,  is there a hotel nearby that serves appetizers
4129,  is there a hotel nearby that serves halibut
4130,  is there a hotel with asian dining
4131,  is there a huntington pizza around here
4132,  is there a japanese restaurant around here that has a sushi conveyor belt and hibachi
4133,  is there a japanese restaurant on savin avenue that has parking
4134,  is there a joe pizza around here with romantic dining
4135,  is there a joes american bar and grill that serves dinner late
4136,  is there a joes crab shack downtown
4137,  is there a kentucky fried chicken near the lloyd center
4138,  is there a kfc in topeka ks
4139,  is there a kid friendly afforable place on alewife brook parkway
4140,  is there a kid friendly expensive restaurant that serves meatballs
4141,  is there a kid friendly hot wings place in dixie inn
4142,  is there a kid friendly restaurant in napa
4143,  is there a kid friendly restaurant in the area
4144,  is there a kid friendly restaurant nearby
4145,  is there a kid friendly restaurant that serves vegan food
4146,  is there a kid friendly steak house along mcgrath highway
4147,  is there a kid friendly dinner place in this neighborhood
4148,  is there a kid friendly restaurant nearby that serves well known hamburgers
4149,  is there a kids menu
4150,  is there a knotty pine restaurant on the way
4151,  is there a korean restaurant near here with outdoor seating
4152,  is there a korean restaurant within a ten minute drive of here
4153,  is there a kosher place with cheap prices on the way
4154,  is there a kosher restaurant close by that has fine dining
4155,  is there a kosher restaurant in the area
4156,  is there a kosher restaurant on my way
4157,  is there a late night cambodian restaurant that is close by
4158,  is there a late night mexican restaurant in chinatown
4159,  is there a long john silvers nearby
4160,  is there a low cost buffet anywhere near here
4161,  is there a low priced middle eastern place with unique decor
4162,  is there a lunch buffet downtown
4163,  is there a lunch special in lawrence
4164,  is there a malaysian place nearby
4165,  is there a mcdonald near here
4166,  is there a mcdonalds in boise idaho
4167,  is there a mcdonalds nearby that delivers
4168,  is there a mcdonalds on main street
4169,  is there a mcdonalds within 5 miles
4170,  is there a mcdonalds within 5 miles of here
4171,  is there a mcdonalds within ten minutes of here
4172,  is there a mcdonals within the next 2 miles
4173,  is there a mexican place on beacon hill with dancing
4174,  is there a mexican place that is open until 1 am
4175,  is there a mexican place with a bar scene downtown
4176,  is there a mexican restaurant around here with a kids menu
4177,  is there a mexican restaurant close by
4178,  is there a mexican restaurant near here
4179,  is there a mexican restaurant that serves chile rellenos somewhere close
4180,  is there a mexican restaurant with high reviews within 10 miles
4181,  is there a mexican restaurant with takeout within 10 miles of visalia ca
4182,  is there a middle eastern restaurant nearby
4183,  is there a milan nearby with a chefands table
4184,  is there a moderately priced place on north street thats open late
4185,  is there a moderately priced vietnamese restaurant open before noon in my area
4186,  is there a nearby chinese restaurant that has carryout
4187,  is there a nearby coffee house that has wi fi
4188,  is there a nearby fast food joint that has a play area for kids
4189,  is there a nearby handicap accessible restaurant with an outdoor smoking section that serves seafood
4190,  is there a nearby hotspot featuring a prix fixe menu
4191,  is there a nearby kosher restaurant with a patio
4192,  is there a nearby mikes diner that delivers
4193,  is there a nearby restaurant that allows smoking
4194,  is there a nearby sit down restaurant that offers healthy or organic kids meal options
4195,  is there a nearby white tablecloth indian restaurant
4196,  is there a new asia on james avenue with byob
4197,  is there a nice bar on the way
4198,  is there a nice restaurant nearby that has a gluten free menu
4199,  is there a nice restaurant where i dont need a reservation
4200,  is there a nicely priced place thats open after midnight on waverly st
4201,  is there a nicely priced restaurant on the way
4202,  is there a panera bread within a half mile
4203,  is there a pasta caffe within one mile
4204,  is there a perfect date restaurant on rogers road
4205,  is there a pet friendly restaurant within 10 miles from here
4206,  is there a pho restaurant in san leandro with good food and service
4207,  is there a picasso creole cuisine along the way
4208,  is there a pizza parlour with a jukebox near here
4209,  is there a pizza place around here
4210,  is there a pizza place near by
4211,  is there a pizza place nearby
4212,  is there a pizza place with group dining
4213,  is there a pizza place with no smoking
4214,  is there a place around here to eat that is open right now
4215,  is there a place called michi kusa where i can get brunch nearby
4216,  is there a place for good bun bo hue in sacramento
4217,  is there a place in hanson that serves brunch
4218,  is there a place near my hotel known for having the best pizza in town
4219,  is there a place nearby called i yit ho
4220,  is there a place nearby where i can get dinner and a show
4221,  is there a place on beacon hill with tasty tapas
4222,  is there a place on perkins avenue with a smoking area and very good service
4223,  is there a place on the route where i can dine at the bar
4224,  is there a place on the way that has carry out
4225,  is there a place on the way where i can dine at the bar
4226,  is there a place open 24 hours
4227,  is there a place open before 12 am
4228,  is there a place serving sangria before 9 am
4229,  is there a place that is open 7 days and after 9 pm that serves clam sauce
4230,  is there a place that offers entertainment with meals
4231,  is there a place that only serves soup and salad
4232,  is there a place that sells cajun food
4233,  is there a place that sells eggs benedict
4234,  is there a place that sells onion ring in the holbrook area
4235,  is there a place that sells smoothies nearby
4236,  is there a place that serves burgers nearby
4237,  is there a place that serves cheese after 11 pm and allows byob
4238,  is there a place that serves salmon on the way
4239,  is there a place that takes online reservations thats not too far
4240,  is there a place to eat around here
4241,  is there a place to eat close by
4242,  is there a place to eat nearby that accepts gift cards
4243,  is there a place to eat nearby that uses only all natural products
4244,  is there a place to eat with hours from two to later
4245,  is there a place to get a pizza with a bar scene
4246,  is there a place to get a quick meal at this time of night
4247,  is there a place to leave my kids while i eat
4248,  is there a place we can have some drinks and lunch
4249,  is there a place where i can get a sandwich
4250,  is there a place where i can sit down and order either pizza or pasta
4251,  is there a place with a lunch special on lawrence with low prices
4252,  is there a place with average service that is open until 2 am
4253,  is there a place with outstanding service open right now
4254,  is there a place within 10 miles that has a brunch menu
4255,  is there a planet hollywood nearby
4256,  is there a pricey restaurant near here
4257,  is there a puleos dairy in north square that is a place the local people like
4258,  is there a quiet restaurant in the downtown area
4259,  is there a raw food restaurant in this town
4260,  is there a raw vegan restaurant in minneapolis
4261,  is there a red robin along my route
4262,  is there a restaurant along the route where we can watch people walk by
4263,  is there a restaurant around here that gives you a complementary birthday mug
4264,  is there a restaurant around here that i could go to with my family for dinner
4265,  is there a restaurant around here that is known for its soups
4266,  is there a restaurant around here that serves ethiopian food
4267,  is there a restaurant called evs usa along my current route
4268,  is there a restaurant close by
4269,  is there a restaurant close by that does not mind kids
4270,  is there a restaurant close by that is gluten free
4271,  is there a restaurant close by that serves steaks
4272,  is there a restaurant in chinatown with a great view and great poek
4273,  is there a restaurant in gloucester that has sfrican cuisine and happy hour
4274,  is there a restaurant in roxbury that has good service and is open before 8 am
4275,  is there a restaurant in this neighborhood that is dog friendly
4276,  is there a restaurant near by that has pad thai and is open 24 hours
4277,  is there a restaurant near fort sumner that serves tapas
4278,  is there a restaurant near here that has serves daily specials
4279,  is there a restaurant near here that is open at 1 am
4280,  is there a restaurant near here that offers carry out service
4281,  is there a restaurant near the racetrack
4282,  is there a restaurant nearby
4283,  is there a restaurant nearby my location
4284,  is there a restaurant nearby that accepts paypal
4285,  is there a restaurant nearby that serves mediterranean cuisine
4286,  is there a restaurant nearby to get a good quality loaded baked potato for lunch
4287,  is there a restaurant nearby where you can pick fresh apples off the orchard and serves homemade pie
4288,  is there a restaurant on beacon hill with a nice price point
4289,  is there a restaurant on riverside drive that is open late
4290,  is there a restaurant open before 7 am that serves pancakes made with wheat flour
4291,  is there a restaurant open late that serves chowder within 10 miles of here
4292,  is there a restaurant serving average priced mojitos nearby
4293,  is there a restaurant that has a chefs table and is open before noon
4294,  is there a restaurant that is open till 1 am and close by
4295,  is there a restaurant that offers a good lentil and rice pilaf for take out
4296,  is there a restaurant that offers senior citizen discounts
4297,  is there a restaurant that serves manderin dumplings
4298,  is there a restaurant that serves schnitzle in this town
4299,  is there a restaurant that specializes in local food
4300,  is there a restaurant thats close thats open after midnight
4301,  is there a restaurant where i can smoke
4302,  is there a restaurant with a fireplace around
4303,  is there a restaurant with a historic setting that serves huge portions within 5 miles of here
4304,  is there a restaurant with bad service that has saucey dishes close by
4305,  is there a restaurant with good service and tuna on the menu
4306,  is there a restaurant with live jazz music
4307,  is there a restaurant with southwestern cuisine with romantic dinging that isnt too far
4308,  is there a restaurant within 10 miles that has group dining in a fantastic setting
4309,  is there a restaurant within 25 miles that serves pizza with gluten free crust
4310,  is there a restaurant within 5 miles that sells dim sum and has a smoking section
4311,  is there a resteraunt that serves couscous and also struesel
4312,  is there a ritas water ice place in this town
4313,  is there a rizzos pizza that has parking along my route
4314,  is there a roast beef place with parking around here
4315,  is there a robeks along the way
4316,  is there a romanos restaurant where me and the kids could go to nearby
4317,  is there a romeros restaurant within mile that is open all week
4318,  is there a romeros restaurants location within a mile from here thats open every day
4319,  is there a ron emmas brass and glass pub on the south end
4320,  is there a rosies cantina within 15 minutes drive
4321,  is there a russian restaurant close by has very small portions
4322,  is there a russian restaurant in downtown
4323,  is there a ruths chris steakhouse in atlanta
4324,  is there a sandwich and coffee shop within walking distance of the grindale pavilion
4325,  is there a sandwich place around here
4326,  is there a sandwich place rated 5 stars with ample parking
4327,  is there a sandwich shop nearby
4328,  is there a sandwiches pizza and move vinnin within 10 miles
4329,  is there a seafood place in the next 5 miles that has carry out
4330,  is there a seafood place nearby
4331,  is there a seafood restaurant with valet parking on the way to my destination
4332,  is there a shao garden restaurant around with a great beer list at amazing prices
4333,  is there a shoneys in atlanta
4334,  is there a simple place nearby where i can get a martini and some food at the bar
4335,  is there a site i can go to check the ratings for some restaurants on the waterfront
4336,  is there a smashburger close around make sure theres plenty of parking
4337,  is there a smoking friendly steakhouse
4338,  is there a smoking section at the last exit pub
4339,  is there a smoking section in old country buffet
4340,  is there a soul food restaurant around
4341,  is there a soul food restaurant in oakland rated at least 4 stars and cheap
4342,  is there a spangles that the whole family could go to within 2 miles of here
4343,  is there a sports bar nearby that serves hamburgers
4344,  is there a sports bar with a good beer selection near the highway
4345,  is there a sports restaurant around where i could watch a football game
4346,  is there a spuds with lots of beer selections
4347,  is there a starbucks nearby
4348,  is there a steak house still open in this city
4349,  is there a steak house that has senior discount place close by
4350,  is there a subway anywhere near here
4351,  is there a subway at 4 seasons mall
4352,  is there a subway in noxon montana
4353,  is there a subway in small town
4354,  is there a subway near
4355,  is there a subway on 5 th
4356,  is there a subway on sea cliff ave in sea cliff
4357,  is there a subway within 2 miles of here
4358,  is there a subway within 5 miles of here
4359,  is there a such thing as a restaurant with a parking deck
4360,  is there a sushi place in the area
4361,  is there a sushi place in truckee ca
4362,  is there a sushi place near me that has fresh sushi
4363,  is there a sushi place with outdoor seating
4364,  is there a sushi restaurant around here where i can watch them prepare my sushi
4365,  is there a sushi restaurant near my destination
4366,  is there a sushi restaurant that also serves thai food in the neighborhood
4367,  is there a taco bell close by
4368,  is there a taco bell in the vicinity
4369,  is there a taco bell on main street
4370,  is there a taco bell within 5 miles
4371,  is there a taco bell within ten miles
4372,  is there a taco bell within three miles of here
4373,  is there a taco truck close by
4374,  is there a takeout place within 3 miles that serves pasta
4375,  is there a tandoori restaurant thats open right now
4376,  is there a tapas restaurant in beacon hill
4377,  is there a teds hot dogs nearby that is not too noisy
4378,  is there a thai basil along the way and can i eat at the bar
4379,  is there a thai moon at a hotel nearby
4380,  is there a thai restaurant nearby
4381,  is there a thai restaurant that has live music
4382,  is there a thai restaurant that takes credit cards near east and west street and homer road
4383,  is there a theme restaurant that caters to kids
4384,  is there a tim hortons downtown
4385,  is there a trendy vegan restaurant around here
4386,  is there a twenty four hour diner nearby
4387,  is there a tylers restaurant in baltimore
4388,  is there a vegan ethiopian restaurant around here
4389,  is there a vegan place nearby
4390,  is there a vegan place on the way with really good prices
4391,  is there a vegan restaurant in the downtown area
4392,  is there a vegan restaurant nearby
4393,  is there a vegan restaurant within 20 miles
4394,  is there a vegetarian restaurant close by that is open everyday
4395,  is there a vegetarian restaurant in the area
4396,  is there a vegetarian restaurant in this town
4397,  is there a vegetarian restaurant with large portions nearby
4398,  is there a vinny ts of boston brookline on the way where i can people watch
4399,  is there a waffle house in greensboro nc
4400,  is there a waterfront seafood restaurant nearby
4401,  is there a well reviewed thai restaurant within one mile of here
4402,  is there a wendys anywhere near here
4403,  is there a wendys nearby
4404,  is there a wendys within 5 miles
4405,  is there a wendys within a mile of the mobil station
4406,  is there a white castle close to hempstead in long island
4407,  is there a wine bar close by
4408,  is there a wine bar near here that also serves tapas
4409,  is there a wok kitchen with prix fixe menus along my route
4410,  is there a zuzu hotel restaurant location nearby
4411,  is there an a and w in this area
4412,  is there an affordable place nearby
4413,  is there an affordable place to get a mojito at 8 am
4414,  is there an afghan restaurant nearby that has outdoor dining
4415,  is there an african restaurant near chinatown
4416,  is there an albertos deli in hingham
4417,  is there an all night barbecue place near government center
4418,  is there an all night cafe within 1 mile of here
4419,  is there an all you can eat chinese buffet within two miles of my location
4420,  is there an antonios restaurant within 4 miles where i can do some people watching
4421,  is there an applebees nearby
4422,  is there an asia buffet within one mile that is open late
4423,  is there an asian buffet place nearby with a rating of at least 3 stars
4424,  is there an average priced late night restaurant on north st
4425,  is there an average priced south american place around
4426,  is there an emperors choice nearby
4427,  is there an ethiopian restaurant within a 25 mile radius of here
4428,  is there an expensive italian bistro where i can bring my children
4429,  is there an expensive restaurant nearby
4430,  is there an expensive restaurant on maple street that stays open until 12 p
4431,  is there an extra charge for delivery with ginos pizza
4432,  is there an ice cream store within 5 miles
4433,  is there an ihop in westbury long island
4434,  is there an ihop within 5 miles
4435,  is there an imperial buffet located in a nearby hotel
4436,  is there an independently owned upscale italian restaurant nearby
4437,  is there an indian buffet within a mile of here
4438,  is there an indian restaurant on bridge street
4439,  is there an indian restaurant within 20 miles that opens for lunch by 11am today
4440,  is there an indian resturant within 10 miles
4441,  is there an inexpensive steak place in littleton
4442,  is there an interesting but cheap middle eastern restaurant nearby
4443,  is there an intimate south indian restaurant close to the movie theaters
4444,  is there an irish place with a view nearby
4445,  is there an irish pub that offers a variety of whiskey drinks
4446,  is there an irish restaurant that offers byob and has decent prices
4447,  is there an italian place along this route that offers parking
4448,  is there an italian restaurant along my route that has a lot of parking space
4449,  is there an italian restaurant around here
4450,  is there an italian restaurant inside the mall
4451,  is there an italian restaurant near by
4452,  is there an italian restaurant nearby
4453,  is there an italian restaurant with authentic pizza around here for people on a budget
4454,  is there an italian restaurant with better ratings than mamas pizza in st paul
4455,  is there an italian restaurant with lasagna where i can bring my own drinks
4456,  is there an italian spot on corinth street that will allow me to bring my own beer
4457,  is there an olive garden around here
4458,  is there an olive garden in this city
4459,  is there an olive garden near here
4460,  is there an olive garden nearby
4461,  is there an olive garden on maple street
4462,  is there an omelettry bakery and cafe nearby
4463,  is there an option for outdoor seating at the garden terrace restaurant
4464,  is there an outdoor dining facility nearby that has a great bbq sauce
4465,  is there an upscale french restaurant in this part of town that doesnt require a reservation
4466,  is there another location for nick and nates bbq
4467,  is there any burger kings near
4468,  is there any burger kings that have a play room for children in this city
4469,  is there any carribean food within 10 minutes from me
4470,  is there any carry out greek restaurant close by
4471,  is there any carry out places available
4472,  is there any casual restaurant in the are
4473,  is there any chilis by the business district
4474,  is there any dennys restaurant within a mile area
4475,  is there any ethiopian restaurants in this state
4476,  is there any fancy restaurant that kids arent allowed in
4477,  is there any fast food restaurant at the airport
4478,  is there any fast food with valet parking on the way
4479,  is there any fast food within 2 miles of here
4480,  is there any french cuisine restaurants within 20 miles
4481,  is there any french restaurants in greenville
4482,  is there any german food near me
4483,  is there any good mexican food close by
4484,  is there any good mexican food nearby in a casual atmosphere
4485,  is there any greek food in this area
4486,  is there any greek places nearby
4487,  is there any hotel with a restaurant in charles street that serves toast
4488,  is there any ice cream parlors close by
4489,  is there any japanese restaurant serves dinner until midnight
4490,  is there any japanese resturants close
4491,  is there any late night restaurants in the area that are still open
4492,  is there any malaysian restaurant that has a great wine list
4493,  is there any murphys country kitchen with a view nearby
4494,  is there any olive garden in 5 miles radius
4495,  is there any one around here that sales light meals im not really that hungry
4496,  is there any parfait places around
4497,  is there any place around here that has a good menu for happy hour
4498,  is there any place around here that is known for a unique dining experience
4499,  is there any place around that serves pie
4500,  is there any place downtown that offers jazz
4501,  is there any place that are pet friendly
4502,  is there any place that has an outdoor area
4503,  is there any place that have music
4504,  is there any place that i can pick up coffee for a whole group of people
4505,  is there any place that will let me keep my dog in its pouch
4506,  is there any place to get a steak around here
4507,  is there any restaurant in the vicinity has a smoking area
4508,  is there any restaurant in town that opens before 11 am but also stays open late tonight
4509,  is there any restaurant nearby that serves surf and turf
4510,  is there any restaurant that has good reviews but is also vegan
4511,  is there any restaurant that offers family style seating
4512,  is there any restaurant that serves german food and beer
4513,  is there any restaurants around that some type of entertainment tonight
4514,  is there any restaurants close that allow smoking
4515,  is there any restaurants that have free valet parking but dont have a dress code
4516,  is there any restaurants that will allow my pet
4517,  is there any smoking restaurants in the city of detroit that accept visa
4518,  is there any southern cuisine near the theater district in holliston
4519,  is there any turkish restaurant in the city
4520,  is there any vietnamese restaurant that is not cash only
4521,  is there any wendys close by
4522,  is there anyplace to eat nearby
4523,  is there anywhere close by thats still open at 10 pm
4524,  is there anywhere close to get french cuisine
4525,  is there anywhere good to eat near the airport
4526,  is there anywhere good to eat nearby
4527,  is there anywhere historic that serves french fries
4528,  is there anywhere in the area to get a quick bite
4529,  is there anywhere that offers romantic vegan dining
4530,  is there anywhere to eat after 11 pm
4531,  is there anywhere to eat around here
4532,  is there anywhere to get a sandwich late at night
4533,  is there anywhere to grab a quick bit on this road
4534,  is there anywhere with highly rated food that i can eat at without being dressed up
4535,  is there anywhere within 5 miles of west and fifth that accepts checks
4536,  is there anywhere within 5 miles that serves real smoothies
4537,  is there chinese takeout nearby
4538,  is there creole food in this town
4539,  is there good seafood here
4540,  is there guatemalan food here
4541,  is there high priced halal with a bar
4542,  is there live music at a sparta restaurant thats close by
4543,  is there on site parking at the foodies on mulligan
4544,  is there outdoor seating at the cuban restaurant
4545,  is there outdoor seating at the palm cafe on lake drive
4546,  is there pacific fusion cuisine in this city
4547,  is there patio seating at craftsman restaurant in minneapolis
4548,  is there place five minutes from here with a good price with vegetable dishes
4549,  is there place where i can use a check to pay for a meal
4550,  is there some place i can get some good potatoes around here after 9 pm
4551,  is there someplace along the route with carry out
4552,  is there somewhere close that serves raw foods
4553,  is there somewhere that i can eat a pastry at a bar
4554,  is there somewhere that serves breakfast all day
4555,  is there somewhere to eat nearby that is open now
4556,  is there valet parking at the indoor grill
4557,  is this a fair price
4558,  is this a good place to eat
4559,  is this a kid friendly restaurant
4560,  is this mcdonalds open 24 hours
4561,  is tie optional at ardens
4562,  is tomsons brewery open on thursday
4563,  is townline pizza expensive
4564,  is two sistersand cafe quiet and reasonably priced
4565,  is village fare pizza a decent place to take my date
4566,  is wendys open at 6 a m
4567,  is west hanover pizzeria a place where i could just look out the window at passersby
4568,  is wilsons diner on the waterfront open late
4569,  is zabaglione close
4570,  isnt there someplace to eat nearby
4571,  it doesnt matter as long as its open before 10 in the morning and has very quick service
4572,  it has been a busy day is there a grocery store near here that has a cafe
4573,  it is getting late is there a bar that still has its kitchen open
4574,  it is my boyfriends birthday where can i find a nice lunch special in inman square
